candidate_id,rank,score,reasoning
CAND_0098780,32,0.5226,"Exceptional AI Research Engineer with 5.9 yrs experience; built core matching/search systems at Zomato, expert in Semantic Search, Milvus, Weaviate. Highly responsive (56% response rate) and located in Bangalore, Karnataka."
CAND_0005649,33,0.5223,"Strong product-focused Senior Data Scientist with 7.4 yrs experience showcasing Semantic Search, Weaviate skills. Demonstrates production deployment background with 56% platform engagement."
CAND_0032216,34,0.5197,"Strong product-focused ML Engineer with 6.1 yrs experience showcasing Information Retrieval, Qdrant skills. Demonstrates production deployment background with 35% platform engagement."
CAND_0018549,35,0.5192,"Strong product-focused Recommendation Systems Engineer with 6.8 yrs experience showcasing Weaviate, Elasticsearch skills. Demonstrates production deployment background with 73% platform engagement."
CAND_0076251,36,0.5119,"Exceptional Search Engineer with 7.6 yrs experience; built core matching/search systems at Haptik, expert in Weaviate, Elasticsearch, Semantic Search. Highly responsive (51% response rate) and located in Bhubaneswar, Odisha."
CAND_0070485,37,0.5058,"Strong product-focused Search Engineer with 6.4 yrs experience showcasing FAISS, Information Retrieval skills. Demonstrates production deployment background with 45% platform engagement."
CAND_0060257,38,0.5056,"Exceptional AI Specialist with 5.8 yrs experience; built core matching/search systems at Paytm, expert in Vector Search, Milvus, OpenSearch. Highly responsive (56% response rate) and located in Gurgaon, Haryana."
CAND_0062413,39,0.5042,"Exceptional AI Research Engineer with 6.6 yrs experience; built core matching/search systems at upGrad, expert in Semantic Search, OpenSearch, Pinecone. Highly responsive (71% response rate) and located in Mumbai, Maharashtra."
CAND_0004402,40,0.5021,"Exceptional AI Research Engineer with 6.0 yrs experience; built core matching/search systems at Yellow.ai, expert in OpenSearch, Qdrant. Highly responsive (83% response rate) and located in Delhi, Delhi."
CAND_0069905,41,0.4985,Strong product-focused Applied ML Engineer with 6.6 yrs experience showcasing Weaviate skills. Demonstrates production deployment background with 78% platform engagement.
CAND_0059017,42,0.4951,Strong product-focused AI Research Engineer with 6.8 yrs experience showcasing FAISS skills. Demonstrates production deployment background with 75% platform engagement.
CAND_0030953,43,0.4922,"Exceptional Search Engineer with 7.8 yrs experience; built core matching/search systems at Nykaa, expert in Qdrant, Weaviate, RAG. Highly responsive (63% response rate) and located in Chennai, Tamil Nadu."
CAND_0007567,44,0.4858,"Exceptional AI Specialist with 6.1 yrs experience; built core matching/search systems at Niramai, expert in NLP, FAISS, Elasticsearch. Highly responsive (80% response rate) and located in Kochi, Kerala."
CAND_0016659,45,0.4786,"Exceptional ML Engineer with 4.4 yrs experience; built core matching/search systems at Glance, expert in Pinecone, FAISS, Information Retrieval. Highly responsive (89% response rate) and located in Coimbatore, Tamil Nadu."
CAND_0017960,46,0.4759,"Strong product-focused Recommendation Systems Engineer with 7.7 yrs experience showcasing Qdrant, Information Retrieval skills. Demonstrates production deployment background with 72% platform engagement."
CAND_0015528,47,0.4752,"Exceptional Applied ML Engineer with 7.4 yrs experience; built core matching/search systems at Krutrim, expert in Weaviate, Information Retrieval, OpenSearch. Highly responsive (53% response rate) and located in Coimbatore, Tamil Nadu."
CAND_0072768,48,0.4693,"Exceptional Senior Software Engineer (ML) with 3.9 yrs experience; built core matching/search systems at Niramai, expert in Pinecone, Qdrant, Milvus. Highly responsive (78% response rate) and located in Bangalore, Karnataka."
CAND_0093193,49,0.4632,"Exceptional Senior Machine Learning Engineer with 7.9 yrs experience; built core matching/search systems at Niramai, expert in Qdrant, OpenSearch, Information Retrieval Systems. Highly responsive (61% response rate) and located in Bangalore, Karnataka."
CAND_0091899,50,0.4614,"Exceptional Senior Software Engineer (ML) with 5.8 yrs experience; built core matching/search systems at PhonePe, expert in Semantic Search, FAISS, NLP. Highly responsive (51% response rate) and located in Delhi, Delhi."
CAND_0015967,51,0.4595,"Strong product-focused Senior Software Engineer (ML) with 5.4 yrs experience showcasing Pinecone, Semantic Search skills. Demonstrates production deployment background with 45% platform engagement."
CAND_0005311,52,0.4476,"Strong product-focused AI Research Engineer with 5.7 yrs experience showcasing Semantic Search, Qdrant skills. Demonstrates production deployment background with 28% platform engagement."
CAND_0048166,53,0.446,"Strong product-focused ML Engineer with 5.2 yrs experience showcasing Pinecone, Milvus skills. Demonstrates production deployment background with 48% platform engagement."
CAND_0017090,54,0.4414,"Exceptional Senior Software Engineer (ML) with 5.5 yrs experience; built core matching/search systems at Paytm, expert in Weaviate, OpenSearch. Highly responsive (71% response rate) and located in Kochi, Kerala."
CAND_0031593,55,0.4349,"Exceptional Search Engineer with 7.8 yrs experience; built core matching/search systems at Genpact AI, expert in Embeddings, Elasticsearch. Highly responsive (57% response rate) and located in Kolkata, West Bengal."
CAND_0005269,56,0.4307,"Strong product-focused Senior Software Engineer (ML) with 6.1 yrs experience showcasing Information Retrieval, Elasticsearch skills. Demonstrates production deployment background with 28% platform engagement."
CAND_0010541,57,0.4248,"Exceptional AI Research Engineer with 6.2 yrs experience; built core matching/search systems at Wysa, expert in Pinecone, Weaviate, Qdrant. Highly responsive (59% response rate) and located in Hyderabad, Telangana."
CAND_0052431,58,0.4245,"Exceptional ML Engineer with 5.3 yrs experience; built core matching/search systems at Swiggy, expert in Semantic Search, Milvus. Highly responsive (85% response rate) and located in Ahmedabad, Gujarat."
CAND_0036121,59,0.4233,"Strong product-focused ML Engineer with 5.2 yrs experience showcasing Embeddings, Vector Search skills. Demonstrates production deployment background with 49% platform engagement."
CAND_0002793,60,0.4197,"Exceptional AI Specialist with 5.5 yrs experience; built core matching/search systems at Meesho, expert in Information Retrieval, FAISS. Highly responsive (77% response rate) and located in Trivandrum, Kerala."
CAND_0001131,61,0.4195,"Exceptional ML Engineer with 5.8 yrs experience; built core matching/search systems at Wysa, expert in Semantic Search, Vector Search, RAG. Highly responsive (57% response rate) and located in Chennai, Tamil Nadu."
CAND_0019159,62,0.4194,"Exceptional ML Engineer with 6.1 yrs experience; built core matching/search systems at Genpact AI, expert in Vector Search, Qdrant, Information Retrieval. Highly responsive (75% response rate) and located in Seattle."
CAND_0017590,63,0.4152,"Exceptional AI Research Engineer with 5.1 yrs experience; built core matching/search systems at Genpact AI, expert in Weaviate, Semantic Search, FAISS. Highly responsive (56% response rate) and located in Kolkata, West Bengal."
CAND_0043228,64,0.4151,"Strong product-focused Applied ML Engineer with 6.8 yrs experience showcasing NLP, Vector Search skills. Demonstrates production deployment background with 41% platform engagement."
CAND_0018961,65,0.4093,"Strong product-focused AI Specialist with 5.0 yrs experience showcasing NLP, Information Retrieval skills. Demonstrates production deployment background with 26% platform engagement."
CAND_0072688,66,0.4076,"Strong product-focused Data Scientist with 6.9 yrs experience showcasing Milvus, Semantic Search skills. Demonstrates production deployment background with 87% platform engagement."
CAND_0094728,67,0.4069,"Strong product-focused AI Specialist with 6.5 yrs experience showcasing OpenSearch, RAG skills. Demonstrates production deployment background with 48% platform engagement."
CAND_0073982,68,0.4043,"Strong product-focused Data Scientist with 7.0 yrs experience showcasing Qdrant, RAG skills. Demonstrates production deployment background with 65% platform engagement."
CAND_0077261,69,0.4019,"Exceptional AI Specialist with 5.7 yrs experience; built core matching/search systems at Meesho, expert in Vector Search, RAG. Highly responsive (81% response rate) and located in Chandigarh, Chandigarh."
CAND_0007009,70,0.4004,"Strong product-focused Recommendation Systems Engineer with 7.9 yrs experience showcasing Weaviate, Embeddings skills. Demonstrates production deployment background with 62% platform engagement."
CAND_0072032,71,0.3959,"Strong product-focused AI Specialist with 6.1 yrs experience showcasing Pinecone, Milvus skills. Demonstrates production deployment background with 38% platform engagement."
CAND_0040178,72,0.3867,"Exceptional ML Engineer with 5.0 yrs experience; built core matching/search systems at Meesho, expert in Weaviate, Vector Search, OpenSearch. Highly responsive (55% response rate) and located in Pune, Maharashtra."
CAND_0008517,73,0.378,Strong product-focused AI Research Engineer with 5.6 yrs experience showcasing Qdrant skills. Demonstrates production deployment background with 80% platform engagement.
CAND_0070225,74,0.3739,"Strong product-focused ML Engineer with 6.0 yrs experience showcasing Semantic Search, Milvus skills. Demonstrates production deployment background with 28% platform engagement."
CAND_0083879,75,0.3731,Strong product-focused Machine Learning Engineer with 7.1 yrs experience showcasing Milvus skills. Demonstrates production deployment background with 47% platform engagement.
CAND_0052706,76,0.3685,"Exceptional AI Research Engineer with 5.1 yrs experience; built core matching/search systems at Swiggy, expert in Pinecone, Information Retrieval, Weaviate. Highly responsive (79% response rate) and located in Coimbatore, Tamil Nadu."
CAND_0037160,77,0.3682,"Strong product-focused Data Scientist with 6.0 yrs experience showcasing Weaviate, Vector Search skills. Demonstrates production deployment background with 74% platform engagement."
CAND_0046621,78,0.3682,Strong product-focused AI Research Engineer with 6.6 yrs experience showcasing Pinecone skills. Demonstrates production deployment background with 33% platform engagement.
CAND_0044890,79,0.3648,"Exceptional AI Research Engineer with 5.0 yrs experience; built core matching/search systems at Haptik, expert in FAISS, Information Retrieval. Highly responsive (79% response rate) and located in Bhubaneswar, Odisha."
CAND_0094165,80,0.3607,"Exceptional AI Research Engineer with 5.8 yrs experience; built core matching/search systems at PhonePe, expert in Semantic Search, Pinecone. Highly responsive (78% response rate) and located in Chandigarh, Chandigarh."
CAND_0019288,81,0.3573,"Strong product-focused AI Research Engineer with 5.7 yrs experience showcasing FAISS, OpenSearch skills. Demonstrates production deployment background with 38% platform engagement."
CAND_0081709,82,0.3554,Strong product-focused AI Research Engineer with 5.5 yrs experience showcasing Weaviate skills. Demonstrates production deployment background with 55% platform engagement.
CAND_0025640,83,0.3548,"Exceptional AI Research Engineer with 5.6 yrs experience; built core matching/search systems at HCL, expert in Semantic Search, Information Retrieval, FAISS. Highly responsive (87% response rate) and located in Jaipur, Rajasthan."
CAND_0086151,84,0.3522,"Strong product-focused Recommendation Systems Engineer with 7.7 yrs experience showcasing Qdrant, OpenSearch skills. Demonstrates production deployment background with 52% platform engagement."
CAND_0060886,85,0.352,"Strong product-focused Senior Software Engineer (ML) with 4.6 yrs experience showcasing FAISS, Vector Search skills. Demonstrates production deployment background with 38% platform engagement."
CAND_0021491,86,0.3515,"Exceptional AI Research Engineer with 6.1 yrs experience; built core matching/search systems at Wysa, expert in Vector Search, Elasticsearch. Highly responsive (61% response rate) and located in Bhubaneswar, Odisha."
CAND_0018653,87,0.3502,"Exceptional ML Engineer with 6.5 yrs experience; built core matching/search systems at Vedantu, expert in RAG, Vector Search, FAISS. Highly responsive (72% response rate) and located in Kochi, Kerala."
CAND_0052735,88,0.3496,"Strong product-focused Data Scientist with 3.5 yrs experience showcasing Milvus, Embeddings skills. Demonstrates production deployment background with 64% platform engagement."
CAND_0040200,89,0.3485,"Exceptional AI Research Engineer with 5.5 yrs experience; built core matching/search systems at PharmEasy, expert in FAISS, NLP, Weaviate. Highly responsive (52% response rate) and located in Pune, Maharashtra."
CAND_0054546,90,0.3475,Strong product-focused AI Research Engineer with 4.9 yrs experience showcasing Qdrant skills. Demonstrates production deployment background with 92% platform engagement.
CAND_0008202,91,0.3463,"Exceptional Senior Software Engineer (ML) with 5.7 yrs experience; built core matching/search systems at Yellow.ai, expert in FAISS, Qdrant, RAG. Highly responsive (50% response rate) and located in Vizag, Andhra Pradesh."
CAND_0053591,92,0.3438,"Exceptional AI Engineer with 5.3 yrs experience; built core matching/search systems at Ola, expert in Embeddings, Milvus, OpenSearch. Highly responsive (81% response rate) and located in Toronto."
CAND_0005509,93,0.3417,"Qualified Data Scientist with 6.0 yrs experience. Good technical baseline matching role requirements, showing positive engagement signals (40% response rate) in Noida, Uttar Pradesh."
CAND_0015581,94,0.341,Strong product-focused Senior Software Engineer (ML) with 6.0 yrs experience showcasing Vector Search skills. Demonstrates production deployment background with 57% platform engagement.
CAND_0085851,95,0.3401,"Strong product-focused ML Engineer with 7.0 yrs experience showcasing Embeddings, Qdrant skills. Demonstrates production deployment background with 37% platform engagement."
CAND_0002120,96,0.3369,"Exceptional ML Engineer with 6.5 yrs experience; built core matching/search systems at HCL, expert in RAG, Information Retrieval, Pinecone. Highly responsive (72% response rate) and located in Berlin."
CAND_0066690,97,0.335,"Exceptional ML Engineer with 4.8 yrs experience; built core matching/search systems at Freshworks, expert in Semantic Search, Elasticsearch, Pinecone. Highly responsive (88% response rate) and located in Gurgaon, Haryana."
CAND_0030784,98,0.3331,"Strong product-focused Data Scientist with 4.4 yrs experience showcasing Embeddings, RAG skills. Demonstrates production deployment background with 90% platform engagement."
CAND_0031752,99,0.3328,"Exceptional ML Engineer with 5.0 yrs experience; built core matching/search systems at Unacademy, expert in Weaviate, Qdrant. Highly responsive (82% response rate) and located in Kolkata, West Bengal."
CAND_0078785,100,0.331,Strong product-focused AI Research Engineer with 6.3 yrs experience showcasing Vector Search skills. Demonstrates production deployment background with 91% platform engagement.
